subject number;Condition;Gender;Age;fluency;flexibility;originality;fluency;flexibility;originality;fluency;flexibility;originality;out of the boxness;number of exploitation phases
1;C;M;27;6;6;28;1,4;1,2;0,6;10;6;6,32;0,2;5
2;C;M;28;5;5;24;2,8;2,8;3;12;13;6,5;0,166666667;5
3;C;F;21;14;12;25;2,8;2,8;3;11;8;6,93;0,636363636;5
4;C;F;27;11;7;39;3,2;3;2;43;33;7,58;0,627906977;14
5;C;F;25;7;7;39;3;3;3;15;9;6,91;0,466666667;4
6;C;M;27;8;8;18;3,6;3,4;4,4;20;18;6,73;0,3;5
7;C;F;28;16;13;19;5,4;5,2;5;20;18;7,09;0,4;6
8;C;M;28;1;1;28;4,2;4,2;4,4;11;14;7,9;0,818181818;4
9;C;F;23;7;6;31;2,8;2,8;2,6;10;8;6,65;0,3;2
10;C;M;27;9;4;15;5,4;5,4;6,4;18;7;6,45;0,222222222;6
11;C;M;31;14;12;46;5,4;5,4;5,8;16;15;6,67;0,3125;5
12;C;M;30;3;3;38;2,8;2,8;2,6;8;8;6,87;0,5;3
13;C;F;23;5;5;14;2,2;2,2;1,6;3;4;6,32;0,333333333;1
14;C;F;25;14;11;33;4,8;4,6;5,2;5;1;6,05;0,2;2
15;C;M;24;1;1;28;7,8;6,6;7;36;23;6,76;0,388888889;10
16;C;F;32;9;7;20;3,2;2,6;2;16;7;6,41;0,3125;5
17;C;F;25;7;6;28;3,2;3;2,2;18;9;6,35;0,222222222;5
18;C;M;29;23;15;56;6,2;6;6,8;29;4;6,99;0,448275862;6
19;C;F;22;12;12;14;3,6;3,4;3;4;4;7,21;0,25;4
20;C;M;28;5;4;10;2,8;2,4;2;6;5;6,24;0,166666667;3
21;C;M;28;7;7;31;2;1,8;0,6;34;32;7,66;0,705882353;13
22;C;F;28;21;10;54;4,2;4;4,4;30;21;6,54;0,3;11
23;C;F;21;9;7;39;4,6;4;2,6;11;11;6,55;0,272727273;4
24;C;F;25;13;10;37;3;3;1,2;16;4;6,25;0,25;5
25;C;F;23;7;6;26;3,4;3,2;2,6;26;13;6,69;0,307692308;6
26;C;M;29;5;5;31;5,2;5;5,2;9;7;6,65;0,333333333;5
27;C;M;25;9;9;19;1,8;1,8;2;17;13;6,37;0,176470588;8
28;C;M;31;13;11;30;2,6;2,6;2,2;16;11;6,44;0,375;7
29;C;F;22;2;2;18;3,2;3,2;1,8;28;15;6,83;0,392857143;5
30;C;M;24;12;10;30;2,4;2,4;1,4;12;11;7,19;0,5;3
31;C;M;26;NaN;NaN;NaN;NaN;NaN;NaN;29;13;6,84;0,344827586;9
32;C;M;24;NaN;NaN;NaN;NaN;NaN;NaN;2;3;6,99;0,5;1
33;C;M;27;NaN;NaN;NaN;NaN;NaN;NaN;40;12;7,01;0,5;9
34;C;M;25;NaN;NaN;NaN;NaN;NaN;NaN;7;8;6,73;0,428571429;5
35;C;M;26;NaN;NaN;NaN;NaN;NaN;NaN;22;18;7,13;0,590909091;7
36;C;M;24;NaN;NaN;NaN;NaN;NaN;NaN;11;9;6,54;0,454545455;3
37;C;F;28;NaN;NaN;NaN;NaN;NaN;NaN;17;14;6,49;0,235294118;7
38;C;F;37;NaN;NaN;NaN;NaN;NaN;NaN;58;56;7,72;0,74137931;13
39;C;F;23;NaN;NaN;NaN;NaN;NaN;NaN;13;15;6,85;0,538461538;6
40;C;F;26;NaN;NaN;NaN;NaN;NaN;NaN;20;17;6,64;0,25;7
41;C;F;23;NaN;NaN;NaN;NaN;NaN;NaN;7;9;7,52;0,571428571;3
42;C;F;23;NaN;NaN;NaN;NaN;NaN;NaN;9;2;6,03;0,111111111;3
43;C;F;28;NaN;NaN;NaN;NaN;NaN;NaN;13;7;6,61;0,307692308;7
44;C;M;23;NaN;NaN;NaN;NaN;NaN;NaN;19;14;7,39;0,736842105;5
45;C;F;25;NaN;NaN;NaN;NaN;NaN;NaN;22;27;8,11;0,863636364;6
46;P;F;26;13;10;15;3,2;3;1,6;14;4;6,47;0,285714286;4
47;P;M;25;8;7;40;5;4,8;6;13;16;7,48;0,692307692;7
48;P;F;25;8;6;15;5,2;5,2;5,6;11;13;7,71;0,727272727;3
49;P;M;29;10;8;25;4,8;4,2;3,6;14;6;6,87;0,428571429;3
50;P;F;28;3;3;11;4,6;4,6;4;7;10;8,14;1;3
51;P;M;27;7;5;21;5,4;5;5,6;15;16;7,01;0,466666667;5
52;P;M;29;8;6;21;4,4;4;4;12;9;6,5;0,25;4
53;P;F;25;17;13;29;2,4;2,2;2;14;14;6,39;0,285714286;6
54;P;F;30;29;14;69;5,8;5,8;6;21;18;7,03;0,571428571;8
55;P;M;29;10;9;18;2,8;2,8;2,8;5;6;7,65;0,6;2
56;P;F;24;5;5;32;3,6;3,6;3,8;12;16;7,79;0,75;4
57;P;M;27;10;5;57;6,2;5,8;9,6;22;7;6,34;0,318181818;5
58;P;M;33;5;4;16;4,6;4,4;6;11;5;6,78;0,454545455;5
59;P;F;23;13;10;14;2,6;2,4;2,6;8;1;7,53;0,625;2
60;P;M;24;17;11;34;5,8;5,8;6,6;26;31;7,98;0,884615385;6
61;P;M;22;8;6;23;4,4;4,4;4;5;4;6,87;0,2;3
62;P;F;23;16;10;23;4,6;4,2;3,4;8;5;5,91;0,25;2
63;P;F;22;21;13;82;4;3,6;3,2;6;4;6,36;0,333333333;2
64;P;M;25;2;2;11;3;2,8;3,4;18;8;7,21;0,444444444;5
65;P;M;24;11;8;29;2,6;2,6;3;18;9;6,79;0,333333333;7
66;P;F;24;13;10;31;3,6;3,6;2,6;27;27;7,38;0,62962963;8
67;P;M;26;2;2;28;3,6;3,6;3;24;13;7,04;0,458333333;6
68;P;M;25;6;6;31;4,2;3,8;3,6;8;11;7,07;0,625;7
69;P;F;25;18;13;38;3,4;3,2;2,2;15;6;6,97;0,466666667;7
70;P;F;25;5;4;9;5,2;4,8;3;40;51;7,83;0,8;14
71;P;M;25;27;19;52;4;3,8;3,8;30;22;7,15;0,533333333;12
72;P;F;26;8;6;33;3,6;3,4;2,8;27;32;7,71;0,703703704;6
73;P;M;22;NaN;NaN;NaN;NaN;NaN;NaN;11;12;7,4;0,636363636;4
74;P;M;27;NaN;NaN;NaN;NaN;NaN;NaN;34;19;6,89;0,470588235;9
75;P;M;25;NaN;NaN;NaN;NaN;NaN;NaN;19;9;6,93;0,421052632;7
76;P;M;30;NaN;NaN;NaN;NaN;NaN;NaN;16;16;7,01;0,5;7
77;P;F;25;NaN;NaN;NaN;NaN;NaN;NaN;14;9;6,28;0,285714286;5
78;P;M;28;NaN;NaN;NaN;NaN;NaN;NaN;7;9;7,65;0,714285714;2
79;P;M;26;NaN;NaN;NaN;NaN;NaN;NaN;17;7;6,58;0,470588235;4
80;P;F;24;NaN;NaN;NaN;NaN;NaN;NaN;10;10;7,59;0,7;4
81;P;M;27;NaN;NaN;NaN;NaN;NaN;NaN;35;33;6,97;0,514285714;9
82;P;F;25;NaN;NaN;NaN;NaN;NaN;NaN;10;13;7,83;0,8;4
83;P;F;25;NaN;NaN;NaN;NaN;NaN;NaN;11;8;6,38;0,454545455;3
84;P;F;25;NaN;NaN;NaN;NaN;NaN;NaN;15;2;6,21;0,2;5
85;P;F;20;NaN;NaN;NaN;NaN;NaN;NaN;22;15;7,49;0,681818182;6
86;P;F;25;NaN;NaN;NaN;NaN;NaN;NaN;11;11;6,6;0,363636364;5
87;P;M;24;NaN;NaN;NaN;NaN;NaN;NaN;8;2;6,51;0,375;4
88;P;F;22;NaN;NaN;NaN;NaN;NaN;NaN;21;29;8,12;0,857142857;10
